Species,lower.alt,higher.alt,Alt,day.tm,Alt,night.tm
N. abalata,0,50,0,35,0,25
N. abgracilis,620,720,500,32,500,23
N. adnata,600,1200,1000,30,1000,21
N. aenigma,1150,1250,1500,27,1500,18
N. alata,550,1900,2000,26,2000,17
N. alba,1600,2187,2500,24,2500,15
N. albomarginata,0,1100,3000,23,3000,13
N. alfredoi,160,345,3500,22,3500,12
N. alzapan,1750,1850,0,29,0,20
N. ampullaria,0,2100,500,26,500,17
N. andamana,0,50,1000,24,1000,15
N. angasanensis,2200,2800,1500,21,1500,12
N. appendiculata,1450,1700,2000,20,2000,10
N. argentii,1400,1900,2500,18,2500,8
N. aristolochioides,1800,2500,3000,17,3000,6
N. armin,700,800,3500,16,3500,4
N. attenboroughii,1450,1726,,,,
N. barcelonae,1500,1700,,,,
N. beccariana,0,800,,,,
N. bellii,0,800,,,,
N. benstonei,150,1350,,,,
N. bicalcarata,0,700,,,,
N. bokorensis,800,1080,,,,
N. bongso,1000,2700,,,,
N. boschiana,1200,1800,,,,
N. burbidgeae,1200,1800,,,,
N. burkei,1100,2000,,,,
N. cabanae,1020,1050,,,,
N. campanulata,100,300,,,,
N. ceciliae,1500,1880,,,,
N. chang,300,600,,,,
N. chaniana,1100,1800,,,,
N. cid,720,820,,,,
N. clipeata,600,800,,,,
N. copelandii,1100,2400,,,,
N. cornuta,950,1050,,,,
N. danseri,0,320,,,,
N. deaniana,1180,1296,,,,
N. densiflora,1700,3200,,,,
N. diabolica,2200,2300,,,,
N. diatas,2400,2900,,,,
N. distillatoria,0,700,,,,
N. domei,850,1000,,,,
N. dubia,1600,2700,,,,
N. edwardsiana,1600,2700,,,,
N. ephippiata,1300,2000,,,,
N. epiphytica,950,1050,,,,
N. eustachya,0,1600,,,,
N. extincta,350,450,,,,
N. eymae,1000,2000,,,,
N. fractiflexa,1400,2150,,,,
N. faizaliana,400,1600,,,,
N. flava,1800,2200,,,,
N. fusca,300,2500,,,,
N. gantungensis,1600,1784,,,,
N. glabrata,1600,2100,,,,
N. glandulifera,1100,1700,,,,
N. graciliflora,300,1280,,,,
N. gracilis,0,1100,,,,
N. gracillima,1400,200,,,,
N. gymnamphora,600,2800,,,,
N. halmahera,10,760,,,,
N. hamata,1400,2500,,,,
N. hamiguitanensis,1200,1600,,,,
N. hemsleyana,0,200,,,,
N. hirsuta,200,1100,,,,
N. hispida,100,800,,,,
N. holdenii,600,800,,,,
N. inermis,1500,2600,,,,
N. insignis,0,850,,,,
N. izumiae,1700,1900,,,,
N. jacquelineae,1700,2200,,,,
N. jamban,1800,2100,,,,
N. junghuhnii,1170,1270,,,,
N. justinae,1000,1620,,,,
N. kampotiana,0,600,,,,
N. kerrii,400,500,,,,
N. khasiana,500,1500,,,,
N. kitanglad,1800,2100,,,,
N. klossii,930,2000,,,,
N. kongkandana,0,50,,,,
N. krabiensis,600,700,,,,
N. lamii,2700,3500,,,,
N. latiffiana,1000,1100,,,,
N. lavicola,2000,2600,,,,
N. leonardoi,1300,1490,,,,
N. leyte,850,950,,,,
N. lingulata,1700,2100,,,,
N. longifolia,300,1100,,,,
N. lowii,1650,2600,,,,
N. macfarlanei,900,2150,,,,
N. macrophylla,2200,2624,,,,
N. macrovulgaris,300,1260,,,,
N. madagascariensis,0,500,,,,
N. malimumuensis,1000,1020,,,,
N. manobo,1000,1020,,,,
N. mantalingajanensis,1700,2085,,,,
N. mapuluensis,700,800,,,,
N. maryae,2050,2150,,,,
N. masoalensis,0,400,,,,
N. maxima,40,2600,,,,
N. merrilliana,0,1100,,,,
N. micramphora,1100,1635,,,,
N. mikei,1100,2800,,,,
N. mindanaoensis,0,1400,,,,
N. minima,1000,1700,,,,
N. mira,1550,1605,,,,
N. mirabilis,0,1500,,,,
N. mollis,1300,2400,,,,
N. monticola,1400,2620,,,,
N. muluensis,1700,2400,,,,
N. murudensis,2000,2423,,,,
N. naga,1500,2000,,,,
N. nebularum,1200,1800,,,,
N. negros,670,1400,,,,
N. neoguineensis,0,1400,,,,
N. nigra,1500,2700,,,,
N. northiana,0,500,,,,
N. ovata,1700,2100,,,,
N. palawanensis,1100,1236,,,,
N. paniculata,1410,1510,,,,
N. pantaronensis,1600,2200,,,,
N. papuana,0,1300,,,,
N. parvula,0,80,,,,
N. peltata,865,1635,,,,
N. pervillei,350,750,,,,
N. petiolata,1450,1900,,,,
N. philippinensis,0,600,,,,
N. pilosa,1550,1650,,,,
N. pitopangii,1400,1800,,,,
N. platychila,900,1400,,,,
N. pulchra,1300,1800,,,,
N. rafflesiana,0,1200,,,,
N. rajah,1500,2650,,,,
N. ramispina,900,2000,,,,
N. ramos,670,1400,,,,
N. reinwardtiana,0,2200,,,,
N. rhombicaulis,1600,2000,,,,
N. rigidifolia,1000,1600,,,,
N. robcantleyi,1750,1850,,,,
N. rosea,450,520,,,,
N. rowaniae,0,80,,,,
N. samar,0,600,,,,
N. sanguinea,300,1800,,,,
N. saranganiensis,1800,2100,,,,
N. sibuyanensis,1250,1500,,,,
N. singalana,2000,2900,,,,
N. smilesii,0,1500,,,,
N. spathulata,1100,2900,,,,
N. spectabilis,1400,2200,,,,
N. stenophylla,800,2600,,,,
N. sumagaya,1600,2247,,,,
N. sumatrana,0,800,,,,
N. suratensis,0,200,,,,
N. surigaoensis,800,1200,,,,
N. talaandig,950,1050,,,,
N. talangensis,1800,2500,,,,
N. tboli,1413,1513,,,,
N. tenax,0,80,,,,
N. tentaculata,400,2250,,,,
N. tenuis,1000,1200,,,,
N. thai,500,600,,,,
N. thorelii,0,200,,,,
N. tobaica,380,1800,,,,
N. tomoriana,0,500,,,,
N. treubiana,0,80,,,,
N. truncata,0,1500,,,,
N. ultra,0,400,,,,
N. undulatifolia,1750,1850,,,,
N. veitchii,0,1600,,,,
N. ventricosa,1000,2000,,,,
N. vieillardii,0,850,,,,
N. villosa,1600,3240,,,,
N. viridis,0,120,,,,
N. vogelii,1000,1500,,,,
N. weda,415,1014,,,,
N. xiphioides,1800,1900,,,,
N. zygon,1500,1857,,,,
